Name, 
Age,
Timestap,Rating
-0.042,0.0
-0.042,0.0
-0.042,0.0
-0.042,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.042,0.0
0.042,0.0
0.083,0.0
0.083,0.0
0.083,0.0
0.125,0.0
0.125,0.0
0.167,0.0
0.167,0.0
0.167,0.0
0.209,0.0
0.209,0.0
0.25,0.0
0.25,0.0
0.25,0.0
0.292,0.0
0.292,0.0
0.334,0.0
0.334,0.0
0.334,0.0
0.375,0.0
0.375,0.0
0.417,0.0
0.417,0.0
0.417,0.0
0.459,0.0
0.459,0.0
0.501,0.0
0.501,0.0
0.501,0.0
0.542,0.0
0.542,0.0
0.584,0.0
0.584,0.0
0.584,0.0
0.626,0.0
0.626,0.0
0.667,0.0
0.667,0.0
0.667,0.0
0.709,0.0
0.709,0.0
0.751,0.0
0.751,0.0
0.751,0.0
0.792,0.0
0.792,0.0
0.834,0.0
0.834,0.0
0.834,0.0
0.876,0.0
0.876,0.0
0.918,0.0
0.918,0.0
0.918,0.0
0.959,0.0
0.959,0.0
1.001,0.0
1.001,0.0
1.001,0.0
1.043,0.0
1.043,0.0
1.084,0.0
1.084,0.0
1.084,0.0
1.126,0.0
1.126,0.0
1.168,0.0
1.168,0.0
1.168,0.0
1.21,0.0
1.21,0.0
1.251,0.0
1.251,0.0
1.251,0.0
1.293,0.0
1.293,0.0
1.335,0.0
1.335,3.0
1.335,7.0
1.376,15.0
1.376,19.0
1.418,27.0
1.418,30.0
1.418,34.0
1.46,41.0
1.46,43.0
1.501,52.0
1.501,55.0
1.501,58.0
1.543,62.0
1.543,64.0
1.585,71.0
1.585,77.0
1.585,86.0
1.627,92.0
1.627,98.0
1.668,113.0
1.668,121.0
1.668,137.0
1.71,167.0
1.71,176.0
1.752,191.0
1.752,197.0
1.752,214.0
1.793,222.0
1.793,229.0
1.835,236.0
1.835,244.0
1.835,258.0
1.877,280.0
1.877,288.0
2.211,294.0
2.211,286.0
2.211,280.0
2.252,274.0
2.252,273.0
2.294,267.0
2.294,266.0
2.294,260.0
2.336,251.0
2.336,249.0
2.377,240.0
2.377,235.0
2.377,230.0
2.419,221.0
2.419,218.0
2.461,207.0
2.461,202.0
2.461,194.0
2.502,186.0
2.502,182.0
2.544,172.0
2.544,167.0
2.544,155.0
2.586,136.0
2.586,125.0
2.628,122.0
2.628,120.0
2.628,119.0
2.669,117.0
2.669,116.0
2.711,107.0
2.711,102.0
2.711,92.0
2.753,78.0
2.794,73.0
2.794,71.0
2.794,65.0
2.836,57.0
2.836,44.0
2.836,32.0
2.878,24.0
2.878,17.0
2.878,10.0
2.92,-1.0
2.92,-6.0
2.961,-20.0
2.961,-25.0
2.961,-45.0
3.003,-60.0
3.003,-80.0
3.045,-94.0
3.045,-103.0
3.045,-111.0
3.086,-119.0
3.128,-129.0
3.128,-133.0
3.128,-139.0
3.128,-148.0
3.17,-156.0
3.17,-157.0
3.212,-161.0
3.212,-164.0
3.212,-168.0
3.253,-176.0
3.295,-182.0
3.295,-187.0
3.295,-193.0
3.337,-201.0
3.337,-204.0
3.378,-212.0
3.378,-217.0
3.378,-232.0
3.42,-238.0
3.42,-240.0
3.462,-242.0
3.462,-243.0
3.462,-244.0
3.503,-245.0
3.503,-248.0
3.545,-251.0
3.545,-252.0
3.545,-254.0
3.587,-257.0
3.587,-258.0
3.629,-259.0
3.629,-259.0
3.629,-259.0
3.67,-259.0
3.67,-259.0
3.712,-259.0
3.712,-259.0
3.712,-259.0
3.754,-259.0
3.754,-259.0
3.795,-259.0
3.795,-259.0
3.795,-258.0
3.837,-256.0
3.837,-254.0
3.879,-245.0
3.879,-242.0
3.879,-226.0
3.921,-205.0
3.921,-199.0
3.962,-178.0
3.962,-173.0
3.962,-169.0
4.004,-168.0
4.004,-168.0
4.046,-168.0
4.046,-164.0
4.046,-161.0
4.087,-156.0
4.087,-154.0
4.129,-150.0
4.129,-144.0
4.129,-125.0
4.171,-88.0
4.171,-71.0
4.213,1.0
4.213,19.0
4.213,82.0
4.254,104.0
4.254,107.0
4.296,113.0
4.296,120.0
4.296,127.0
4.338,138.0
4.338,142.0
4.379,164.0
4.379,174.0
4.379,191.0
4.421,211.0
4.421,215.0
4.463,228.0
4.463,237.0
4.463,250.0
4.504,264.0
4.504,270.0
4.546,274.0
4.546,275.0
4.546,278.0
4.588,280.0
4.588,281.0
4.63,281.0
4.63,281.0
4.63,281.0
4.671,281.0
4.671,281.0
4.713,280.0
4.713,280.0
4.713,279.0
4.755,276.0
4.755,273.0
4.796,269.0
4.796,266.0
4.796,264.0
4.838,263.0
4.838,262.0
4.88,261.0
4.88,260.0
4.88,257.0
4.922,252.0
4.922,250.0
4.963,245.0
4.963,241.0
4.963,238.0
5.005,235.0
5.005,231.0
5.047,228.0
5.047,224.0
5.047,218.0
5.088,216.0
5.088,216.0
5.13,214.0
5.13,214.0
5.13,212.0
5.172,208.0
5.172,204.0
5.214,201.0
5.214,196.0
5.214,192.0
5.255,185.0
5.255,184.0
5.297,179.0
5.297,172.0
5.297,154.0
5.339,141.0
5.339,139.0
5.38,134.0
5.38,133.0
5.38,129.0
5.422,121.0
5.422,119.0
5.464,109.0
5.464,107.0
5.464,103.0
5.505,97.0
5.505,95.0
5.547,85.0
5.547,82.0
5.547,76.0
5.589,66.0
5.589,63.0
5.631,58.0
5.631,51.0
5.631,42.0
5.672,32.0
5.672,28.0
5.714,24.0
5.714,21.0
5.714,18.0
5.756,14.0
5.756,13.0
5.797,6.0
5.797,1.0
5.797,-4.0
5.839,-9.0
5.839,-13.0
5.881,-19.0
5.881,-21.0
5.881,-25.0
5.923,-30.0
5.923,-32.0
5.964,-39.0
5.964,-43.0
5.964,-53.0
6.006,-59.0
6.006,-64.0
6.048,-66.0
6.048,-68.0
6.048,-68.0
6.089,-69.0
6.089,-69.0
6.089,-69.0
6.131,-69.0
6.131,-69.0
6.173,-69.0
6.173,-69.0
6.173,-69.0
6.215,-69.0
6.215,-69.0
6.256,-69.0
6.256,-69.0
6.256,-69.0
6.298,-69.0
6.298,-68.0
6.34,-64.0
6.34,-62.0
6.34,-57.0
6.381,-51.0
6.381,-46.0
6.423,-42.0
6.423,-39.0
6.423,-36.0
6.465,-32.0
6.465,-31.0
6.506,-16.0
6.506,-2.0
6.506,11.0
6.548,23.0
6.548,26.0
6.59,34.0
6.59,42.0
6.59,50.0
6.632,56.0
6.632,61.0
6.673,68.0
6.673,70.0
6.673,76.0
6.715,83.0
6.715,83.0
6.757,84.0
6.757,84.0
6.757,84.0
6.798,84.0
6.798,84.0
6.84,82.0
6.84,78.0
6.84,70.0
6.882,56.0
6.882,54.0
6.924,48.0
6.924,41.0
6.924,29.0
6.965,-21.0
6.965,-43.0
7.007,-79.0
7.007,-98.0
7.007,-110.0
7.049,-118.0
7.049,-123.0
7.09,-136.0
7.09,-139.0
7.09,-145.0
7.132,-154.0
7.132,-157.0
7.174,-168.0
7.174,-170.0
7.174,-175.0
7.216,-181.0
7.216,-182.0
7.257,-183.0
7.257,-184.0
7.257,-185.0
7.299,-186.0
7.299,-188.0
7.341,-189.0
7.341,-189.0
7.341,-189.0
7.382,-190.0
7.382,-191.0
7.424,-193.0
7.424,-197.0
7.424,-206.0
7.466,-223.0
7.466,-235.0
7.507,-257.0
7.507,-263.0
7.507,-266.0
7.549,-267.0
7.549,-267.0
7.591,-267.0
7.591,-267.0
7.591,-267.0
7.633,-270.0
7.633,-271.0
7.674,-274.0
7.674,-275.0
7.674,-279.0
7.716,-287.0
7.716,-289.0
7.758,-299.0
8.508,-299.0
8.55,-294.0
8.55,-292.0
8.592,-290.0
8.592,-290.0
8.592,-290.0
8.634,-290.0
8.634,-290.0
8.675,-290.0
8.675,-290.0
8.675,-290.0
8.717,-291.0
8.717,-291.0
8.759,-291.0
8.759,-291.0
8.759,-290.0
8.8,-289.0
8.8,-288.0
8.842,-286.0
8.842,-285.0
8.842,-285.0
8.884,-282.0
8.884,-281.0
8.926,-280.0
8.926,-280.0
8.926,-280.0
8.967,-277.0
8.967,-273.0
9.009,-272.0
9.009,-271.0
9.009,-271.0
9.051,-269.0
9.051,-269.0
9.092,-267.0
9.092,-266.0
9.092,-265.0
9.134,-263.0
9.134,-262.0
9.176,-261.0
9.176,-261.0
9.176,-261.0
9.218,-261.0
9.218,-261.0
9.259,-261.0
9.259,-261.0
9.259,-261.0
9.301,-262.0
9.301,-263.0
9.343,-263.0
9.343,-264.0
9.343,-264.0
9.384,-266.0
9.384,-266.0
9.426,-266.0
9.426,-267.0
9.426,-267.0
9.468,-267.0
9.468,-267.0
9.51,-267.0
9.51,-267.0
9.51,-267.0
9.551,-268.0
9.551,-269.0
9.593,-269.0
9.593,-270.0
9.593,-270.0
9.635,-270.0
9.635,-271.0
9.676,-271.0
9.676,-271.0
9.676,-271.0
9.718,-272.0
9.718,-272.0
9.718,-273.0
9.76,-273.0
9.76,-273.0
9.801,-273.0
9.801,-249.0
9.801,-249.0
9.801,-249.0
9.801,-249.0
9.843,-249.0
9.843,-249.0
9.843,-249.0
9.885,-249.0
9.885,-249.0
9.927,-249.0
9.927,-249.0
9.927,-249.0
9.968,-249.0
9.968,-249.0
10.01,-249.0
10.01,-249.0
10.01,-249.0
10.052,-249.0
10.052,-249.0
10.093,-249.0
10.093,-249.0
10.093,-249.0
10.135,-249.0
10.135,-249.0
10.177,-249.0
10.177,-249.0
10.177,-249.0
10.219,-249.0
10.219,-249.0
10.26,-249.0
10.26,-249.0
10.26,-249.0
10.302,-249.0
10.302,-249.0
10.344,-249.0
10.344,-249.0
10.344,-249.0
10.385,-249.0
10.385,-249.0
10.427,-249.0
10.427,-249.0
10.427,-249.0
10.469,-249.0
10.469,-249.0
10.511,-249.0
10.511,-249.0
10.511,-249.0
10.552,-249.0
10.552,-249.0
10.552,-249.0
10.594,-249.0
10.594,-249.0
10.636,-249.0
10.636,-249.0
10.636,-249.0
10.677,-249.0
10.677,-249.0
10.719,-249.0
10.719,-249.0
10.761,-249.0
10.761,-249.0
10.761,-249.0
10.802,-249.0
10.802,-249.0
10.802,-249.0
10.844,-249.0
10.844,-249.0
10.886,-249.0
10.886,-249.0
10.886,-249.0
10.928,-249.0
10.928,-249.0
10.969,-249.0
10.969,-249.0
11.011,-249.0
11.011,-249.0
11.011,-249.0
11.053,-249.0
11.053,-249.0
11.053,-249.0
11.094,-249.0
11.094,-249.0
11.136,-249.0
11.136,-249.0
11.136,-249.0
11.178,-249.0
11.178,-249.0
11.22,-249.0
11.22,-249.0
11.22,-249.0
11.261,-249.0
11.261,-249.0
11.303,-249.0
11.303,-249.0
11.303,-249.0
11.345,-249.0
11.345,-249.0
11.386,-249.0
11.386,-249.0
11.386,-249.0
11.428,-249.0
11.428,-249.0
11.47,-249.0
