Name,
Age,
Gender,M
Seen,Y
Birth,
Exp_with_coding,Y
Education,Highschool
-0.042,0.0
0.0,0.0
0.0,0.0
0.042,0.0
0.083,0.0
0.125,0.0
0.167,0.0
0.209,0.0
0.25,0.0
0.292,0.0
0.334,0.0
0.375,0.0
0.417,0.0
0.459,0.0
0.501,0.0
0.542,0.0
0.584,0.0
0.626,0.0
0.667,0.0
0.709,0.0
0.751,0.0
0.792,0.0
0.834,0.0
0.876,0.0
0.918,0.0
0.959,0.0
1.001,0.0
1.043,0.0
1.084,0.0
1.126,3.0
1.168,6.0
1.21,6.0
1.251,9.0
1.293,19.0
1.335,33.0
1.376,63.0
1.418,70.0
1.46,85.0
1.501,88.0
1.543,70.0
1.585,-182.0
1.752,-214.0
1.793,-57.0
1.835,2.0
1.877,5.0
1.919,-16.0
1.96,-121.0
2.002,-142.0
2.044,-131.0
2.085,51.0
2.127,120.0
2.169,122.0
2.211,69.0
2.252,16.0
2.294,22.0
2.336,147.0
2.377,284.0
2.419,252.0
2.461,118.0
2.502,37.0
2.544,36.0
2.586,122.0
2.628,167.0
2.669,159.0
2.711,69.0
2.753,-54.0
2.794,-92.0
2.836,-119.0
2.878,-162.0
2.92,-223.0
2.961,-234.0
3.003,-234.0
3.045,-220.0
3.086,-138.0
3.128,17.0
3.17,117.0
3.212,207.0
3.253,246.0
3.295,247.0
3.337,247.0
3.378,229.0
3.42,145.0
3.462,-17.0
3.503,-135.0
3.545,-171.0
3.587,-171.0
3.629,-105.0
3.67,42.0
3.712,108.0
3.754,154.0
3.795,161.0
3.837,160.0
3.879,91.0
3.921,4.0
3.962,-91.0
4.004,-99.0
4.046,-105.0
4.087,-105.0
4.129,-102.0
4.171,-101.0
4.213,-101.0
4.254,-100.0
4.296,-89.0
4.338,-89.0
4.379,-89.0
4.421,-89.0
4.463,-89.0
4.504,-89.0
4.546,-89.0
4.588,-89.0
4.63,-89.0
4.671,-89.0
4.713,-89.0
4.755,-89.0
4.796,-89.0
4.838,143.0
4.88,142.0
4.922,138.0
4.963,119.0
5.005,36.0
5.047,-20.0
5.088,-25.0
5.13,-25.0
5.172,-25.0
5.214,-23.0
5.255,-22.0
5.297,-19.0
5.339,-18.0
5.38,-18.0
5.422,-18.0
5.464,-18.0
5.505,-18.0
5.547,-18.0
5.589,-18.0
5.631,-18.0
5.672,-18.0
5.714,-18.0
5.756,-18.0
5.797,-18.0
5.839,-18.0
5.881,-18.0
5.923,-18.0
5.964,-18.0
6.006,-18.0
6.048,-18.0
6.089,-18.0
6.131,-18.0
6.173,-18.0
6.215,-18.0
6.256,-18.0
6.298,-18.0
6.34,-18.0
6.381,-18.0
6.423,-18.0
6.465,-18.0
6.506,-18.0
6.548,-18.0
6.59,-18.0
6.632,-18.0
6.673,-18.0
6.715,-18.0
6.757,-18.0
6.798,-18.0
6.84,-18.0
6.882,-18.0
6.924,-18.0
6.965,-18.0
7.007,-18.0
7.049,-18.0
7.09,-18.0
7.132,-18.0
7.174,-18.0
7.216,-18.0
7.257,-18.0
7.299,-18.0
7.341,-18.0
7.382,-18.0
7.424,-18.0
7.466,-18.0
7.507,-18.0
7.549,-18.0
7.591,-18.0
7.633,-18.0
7.674,-18.0
7.716,-18.0
7.758,-18.0
7.799,-18.0
7.841,-18.0
7.883,-18.0
7.925,-18.0
7.966,-18.0
8.008,-18.0
8.05,-18.0
8.091,-18.0
8.133,-18.0
8.175,-18.0
8.217,-18.0
8.258,-18.0
8.3,-18.0
8.342,-18.0
8.383,-18.0
8.425,-18.0
8.467,-18.0
8.508,-18.0
8.55,-18.0
8.592,-18.0
8.634,-18.0
8.675,-18.0
8.717,-18.0
8.759,-18.0
8.8,-18.0
8.842,-18.0
8.884,-18.0
8.926,-18.0
8.967,-18.0
9.009,-18.0
9.051,-17.0
9.092,-4.0
9.134,6.0
9.176,21.0
9.218,20.0
9.259,-20.0
9.301,-70.0
9.343,-119.0
9.384,-120.0
9.426,-124.0
9.468,-130.0
9.51,-147.0
9.551,-148.0
9.593,-148.0
9.635,-146.0
9.676,-140.0
9.718,-139.0
9.76,-139.0
9.801,-144.0
9.843,-150.0
9.885,-150.0
9.927,-136.0
9.968,-128.0
10.01,-128.0
10.052,-130.0
10.093,-134.0
10.135,-135.0
10.177,-134.0
10.219,-132.0
10.26,-129.0
10.302,-126.0
10.344,-126.0
10.385,-126.0
10.427,-126.0
10.469,-126.0
10.511,-126.0
10.552,-126.0
10.594,-126.0
10.636,-126.0
10.677,-126.0
10.719,-126.0
10.761,-126.0
10.802,-126.0
10.844,-126.0
10.886,-126.0
10.928,-126.0
10.969,-126.0
11.011,-126.0
11.053,-126.0
11.094,-126.0
11.136,-126.0
11.178,-126.0
11.22,-126.0
11.261,-126.0
11.303,-126.0
11.345,-126.0
11.386,-126.0
11.428,-126.0
11.47,-126.0
11.512,-126.0
11.553,-126.0
11.595,-126.0
11.637,-126.0
11.678,-126.0
11.72,-126.0
11.762,-126.0
11.803,-126.0
11.845,-126.0
11.887,-126.0
11.929,-126.0
11.97,-126.0
12.012,-126.0
12.054,-126.0
12.095,-126.0
12.137,-126.0
12.179,-126.0
12.221,-126.0
12.262,-126.0
12.304,-126.0
12.346,-126.0
12.387,-126.0
12.429,-126.0
12.471,-126.0
12.513,-126.0
12.554,-126.0
12.596,-126.0
12.638,-126.0
12.679,-126.0
12.721,-126.0
12.763,-126.0
12.804,-126.0
12.846,-126.0
12.888,-126.0
12.93,-126.0
12.971,-126.0
13.013,-126.0
13.055,-126.0
13.096,-126.0
13.138,-126.0
13.18,-126.0
13.222,-126.0
13.263,-126.0
13.305,-126.0
13.347,-126.0
13.388,-126.0
13.43,-126.0
13.472,-126.0
13.514,-126.0
13.555,-126.0
13.597,-126.0
13.639,-126.0
13.68,-126.0
13.722,-126.0
13.764,-126.0
13.805,-126.0
13.847,-126.0
13.889,-126.0
13.931,-126.0
13.972,-126.0
14.014,-126.0
14.056,-126.0
14.097,-126.0
14.139,-126.0
14.181,-126.0
14.223,-126.0
14.264,-126.0
14.306,-126.0
14.348,-126.0
14.389,-126.0
14.431,-126.0
14.473,-126.0
14.515,-126.0
14.556,-126.0
14.598,-126.0
14.64,-126.0
14.681,-126.0
14.723,-126.0
14.765,-126.0
14.806,-126.0
14.848,-126.0
14.89,-126.0
14.932,-126.0
14.973,-126.0
15.015,-126.0
15.057,-126.0
15.098,-126.0
15.14,-126.0
15.182,-126.0
15.224,-126.0
15.265,-126.0
15.307,-126.0
15.349,-126.0
15.39,-126.0
15.432,-126.0
15.474,-126.0
15.516,-126.0
15.557,-126.0
15.599,-126.0
15.641,-126.0
15.682,-126.0
15.724,-126.0
15.766,-126.0
15.807,-126.0
15.849,-126.0
15.891,-126.0
15.933,-126.0
15.974,-126.0
16.016,-126.0
16.058,-126.0
16.099,-126.0
16.141,-126.0
16.183,-126.0
16.225,-126.0
16.266,-126.0
16.308,-126.0
16.35,-126.0
16.391,-126.0
16.433,-126.0
16.475,-126.0
16.517,-126.0
16.558,-126.0
16.6,-126.0
16.642,-126.0
16.683,-126.0
16.725,-126.0
16.767,-126.0
16.808,-126.0
16.85,-126.0
16.892,-126.0
16.934,-126.0
16.975,-126.0
17.017,-126.0
17.059,-126.0
17.1,-126.0
17.142,-126.0
17.184,-126.0
17.226,-126.0
17.267,-126.0
17.309,-126.0
17.351,-126.0
17.392,-126.0
17.434,-126.0
17.476,-126.0
17.518,-126.0
17.559,-126.0
17.601,-126.0
17.643,-126.0
17.684,-126.0
17.726,-126.0
17.768,-126.0
17.809,-126.0
17.851,-126.0
17.893,-126.0
17.935,-126.0
17.976,-126.0
18.018,-126.0
18.06,-126.0
18.101,-126.0
18.143,-126.0
18.185,-126.0
18.227,-126.0
