Name,
Age,
Gender,M
Seen,Y
Birth,
Exp_with_coding,Y
Education,Highschool
Time,X-0.033,0.0
-0.033,0.0
-0.033,0.0
0.0,0.0
0.0,0.0
0.033,0.0
0.033,0.0
0.067,0.0
0.067,0.0
0.1,0.0
0.1,0.0
0.133,0.0
0.133,0.0
0.167,0.0
0.167,0.0
0.2,0.0
0.2,0.0
0.233,0.0
0.233,0.0
0.267,0.0
0.267,0.0
0.3,0.0
0.3,0.0
0.333,0.0
0.333,0.0
0.367,0.0
0.367,0.0
0.4,0.0
0.4,0.0
0.433,0.0
0.433,0.0
0.467,0.0
0.467,0.0
0.5,0.0
0.5,0.0
0.533,0.0
0.533,-1.0
0.567,-5.0
0.567,-9.0
0.6,-11.0
0.6,-13.0
0.633,-14.0
0.633,-15.0
0.667,-18.0
0.667,-20.0
0.7,-24.0
0.7,-26.0
0.733,-27.0
0.733,-32.0
0.767,-36.0
0.767,-40.0
0.8,-44.0
0.8,-46.0
0.833,-51.0
0.833,-53.0
0.867,-54.0
0.867,-54.0
0.9,-54.0
0.9,-54.0
0.933,-54.0
0.933,-54.0
0.967,-54.0
0.967,-54.0
1.0,-54.0
1.0,-54.0
1.033,-54.0
1.033,-54.0
1.067,-54.0
1.067,-54.0
1.1,-54.0
1.1,-54.0
1.133,-54.0
1.133,-54.0
1.167,-54.0
1.167,-54.0
1.2,-54.0
1.2,-55.0
1.233,-58.0
1.233,-60.0
1.267,-65.0
1.267,-68.0
1.3,-69.0
1.3,-72.0
1.333,-80.0
1.333,-85.0
1.367,-93.0
1.367,-94.0
1.4,-95.0
1.4,-96.0
1.433,-101.0
1.433,-103.0
1.467,-105.0
1.467,-106.0
1.5,-107.0
1.5,-110.0
1.533,-114.0
1.533,-115.0
1.567,-119.0
1.567,-120.0
1.6,-121.0
1.6,-121.0
1.633,-122.0
1.633,-122.0
1.667,-122.0
1.667,-122.0
1.7,-122.0
1.7,-122.0
1.733,-122.0
1.733,-122.0
1.767,-122.0
1.767,-122.0
1.8,-122.0
1.8,-121.0
1.833,-118.0
1.833,-117.0
1.867,-117.0
1.867,-117.0
1.9,-117.0
1.9,-117.0
1.933,-117.0
1.933,-117.0
1.967,-117.0
1.967,-117.0
2.0,-117.0
2.0,-117.0
2.033,-116.0
2.033,-115.0
2.067,-113.0
2.067,-111.0
2.1,-107.0
2.1,-101.0
2.133,-97.0
2.133,-95.0
2.167,-94.0
2.167,-91.0
2.2,-89.0
2.2,-84.0
2.233,-83.0
2.233,-77.0
2.267,-71.0
2.267,-64.0
2.3,-57.0
2.3,-50.0
2.333,-44.0
2.333,-39.0
2.367,-35.0
2.367,-31.0
2.4,-28.0
2.4,-24.0
2.433,-23.0
2.433,-18.0
2.467,-15.0
2.467,-12.0
2.5,-8.0
2.5,-2.0
2.533,2.0
2.533,5.0
2.567,8.0
2.567,13.0
2.6,17.0
2.6,27.0
2.633,35.0
2.633,42.0
2.667,46.0
2.667,49.0
2.7,50.0
2.7,54.0
2.733,55.0
2.733,59.0
2.767,62.0
2.767,69.0
2.8,74.0
2.8,75.0
2.833,82.0
2.833,90.0
2.867,93.0
2.867,96.0
2.9,99.0
2.9,100.0
2.933,101.0
2.933,103.0
2.967,106.0
2.967,108.0
3.0,113.0
3.0,116.0
3.033,120.0
3.033,126.0
3.067,133.0
3.067,140.0
3.1,142.0
3.1,143.0
3.133,146.0
3.133,157.0
3.167,168.0
3.167,172.0
3.2,174.0
3.2,175.0
3.233,175.0
3.233,175.0
3.267,175.0
3.267,176.0
3.3,180.0
3.3,183.0
3.333,184.0
3.333,188.0
3.367,191.0
3.367,195.0
3.4,196.0
3.4,198.0
3.433,198.0
3.433,198.0
3.467,198.0
3.467,198.0
3.5,198.0
3.5,198.0
3.533,198.0
3.533,198.0
3.567,198.0
3.567,198.0
3.6,198.0
3.6,198.0
3.633,198.0
3.633,198.0
3.667,198.0
3.667,198.0
3.7,199.0
3.7,199.0
3.733,199.0
3.733,199.0
3.767,199.0
3.767,199.0
3.8,199.0
3.8,199.0
3.833,199.0
3.833,199.0
3.867,199.0
3.867,199.0
3.9,199.0
3.9,199.0
3.933,197.0
3.933,197.0
3.967,197.0
3.967,197.0
4.0,196.0
4.0,195.0
4.033,194.0
4.033,193.0
4.067,193.0
4.067,191.0
4.1,191.0
4.1,189.0
4.133,185.0
4.133,180.0
4.167,176.0
4.167,175.0
4.2,173.0
4.2,170.0
4.233,165.0
4.233,157.0
4.267,153.0
4.267,148.0
4.3,144.0
4.3,140.0
4.333,136.0
4.333,131.0
4.367,129.0
4.367,125.0
4.4,123.0
4.4,119.0
4.433,118.0
4.433,115.0
4.467,113.0
4.467,110.0
4.5,108.0
4.5,101.0
4.533,97.0
4.533,92.0
4.567,89.0
4.567,87.0
4.6,84.0
4.6,81.0
4.633,77.0
4.633,75.0
4.667,73.0
4.667,72.0
4.7,66.0
4.7,63.0
4.733,56.0
4.733,49.0
4.767,47.0
4.767,44.0
4.8,42.0
4.8,39.0
4.833,38.0
4.833,34.0
4.867,29.0
4.867,25.0
4.9,22.0
4.9,18.0
4.933,12.0
4.933,1.0
4.967,-8.0
4.967,-33.0
5.0,-48.0
5.0,-61.0
5.033,-66.0
5.033,-70.0
5.067,-75.0
5.067,-79.0
5.1,-85.0
5.1,-93.0
5.133,-94.0
5.133,-94.0
5.167,-94.0
5.167,-94.0
5.2,-94.0
5.2,-95.0
5.233,-96.0
5.233,-96.0
5.267,-98.0
5.267,-98.0
5.3,-99.0
5.3,-100.0
5.333,-100.0
5.333,-101.0
5.367,-101.0
5.367,-101.0
5.4,-101.0
5.4,-101.0
5.433,-101.0
5.433,-101.0
5.467,-101.0
5.467,-101.0
5.5,-101.0
5.5,-101.0
5.533,-101.0
5.533,-101.0
5.567,-101.0
5.567,-101.0
5.6,-101.0
5.6,-101.0
5.633,-101.0
5.633,-101.0
5.667,-101.0
5.667,-101.0
5.7,-99.0
5.7,-92.0
5.733,-91.0
5.733,-81.0
5.767,-74.0
5.767,-61.0
5.8,-51.0
5.8,-40.0
5.833,-36.0
5.833,-35.0
5.867,-35.0
5.867,-35.0
5.9,-35.0
5.9,-35.0
5.933,-35.0
5.933,-35.0
5.967,-35.0
5.967,-35.0
6.0,-35.0
6.0,-35.0
6.033,-35.0
6.033,-35.0
6.067,-35.0
6.067,-35.0
6.1,-35.0
6.1,-35.0
6.133,-35.0
6.133,-35.0
6.167,-35.0
6.167,-35.0
6.2,-35.0
6.2,-35.0
6.233,-35.0
6.233,-35.0
6.267,-35.0
6.267,-35.0
6.3,-35.0
6.3,-35.0
6.333,-35.0
6.333,-35.0
6.367,-35.0
6.367,-35.0
6.4,-35.0
6.4,-35.0
6.433,-35.0
6.433,-35.0
6.467,-35.0
6.467,-35.0
6.5,-35.0
6.5,-35.0
6.533,-35.0
6.533,-35.0
6.567,-35.0
6.567,-35.0
6.6,-35.0
6.6,-35.0
6.633,-35.0
6.633,-35.0
6.667,-35.0
6.667,-35.0
6.7,-35.0
6.7,-35.0
6.733,-35.0
6.733,-35.0
6.767,-35.0
6.767,-35.0
6.8,-35.0
6.8,-35.0
6.833,-35.0
6.833,-35.0
6.867,-35.0
6.867,-35.0
6.9,-35.0
6.9,-35.0
6.933,-35.0
6.933,-35.0
6.967,-35.0
6.967,-35.0
7.0,-35.0
7.0,-35.0
7.033,-35.0
7.033,-35.0
7.067,-35.0
7.067,-35.0
7.1,-35.0
7.1,-35.0
7.133,-35.0
7.133,-35.0
7.167,-35.0
7.167,-35.0
7.2,-35.0
7.2,-35.0
7.233,-35.0
7.233,-35.0
7.267,-35.0
7.267,-35.0
7.3,-35.0
7.3,-35.0
7.333,-35.0
7.333,-35.0
7.367,-35.0
7.367,-35.0
